Item_id,Item_Name,Item_Calories,Item_Protein,Menu_id
109,Broccoli_Parmesan_Scramble,350,26,1
110,Peach_Walnut_Oatmeal,323,10,2
111,Apple_Pancakes,406,7,3
112,Potato_Breakfast_Burrito,367,24,4
113,Raspberry_Almond_Yogurt_Parfait,327,18,5
114,Avocado_Egg_Croissant_Sandwich,483,13,6
115,Chipotle_Shrimp_Wrap,442,17,7
116,Chipotle_Chickpea_Couscous_Bowl,456,38,8
117,Chicken_Burger,460,25,9
118,Harvest_Chicken_Noodle_Soup,266,7,10
119,Tofu_Marinara_Penne,576,28,11
120,Chicken_Street_Tacos,388,18,12
121,Tofu_Creamy_Pesto_Linguine,786,16,13
122,Cod_Quinoa_Dinner,435,25,14
123,Harvest_Black_Bean_Salsa_Verde_Enchiladas,804,27,15
124,Chicken_Gyro_Plate,813,22,16
125,Tomato_Basil_Turkey_Brown_Rice_Plate,707,43,17
126,House_Chicken_Red_Curry,807,31,18
127,Corn_Cheddar_Omelet,273,26,1
128,Apple_Cashew_Oatmeal,337,11,2
129,Mango_Pancakes,377,10,3
130,Sun_Devil_Potato_Breakfast_Burrito,575,18,4
131,Strawberry_Almond_Yogurt_Parfait,298,22,5
132,Garden_Avocado_Egg_Croissant_Sandwich,332,23,6
133,Campus_Vegetable_Marinara_Penne,744,21,7
134,Classic_Chicken_Street_Tacos,572,25,8
135,Grilled_Chicken_Cilantro_Lime_Salad,446,35,9
136,Caesar_Lentil_Wrap,615,15,10
137,Lemon_Herb_Chickpea_Farro_Bowl,737,20,11
138,Portobello_Sandwich,699,22,12
139,Chickpea_Salsa_Verde_Enchiladas,772,18,13
140,Chicken_Shawarma_Bowl,866,15,14
141,Pesto_Chicken_Quinoa_Plate,800,42,15
142,Shrimp_Massaman_Curry,588,34,16
143,House_Chicken_Vegetable_Stir_Fry,594,28,17
144,Sun_Devil_Mushroom_Ramen,528,31,18
145,Spinach_Mozzarella_Omelet,371,16,1
146,Pineapple_Pecan_Oatmeal,346,10,2
147,Blueberry_Waffles,511,12,3
148,Potato_Breakfast_Taco,337,21,4
149,Blueberry_Chia_Yogurt_Parfait,354,16,5
150,Turkey_Sausage_Croissant_Sandwich,375,22,6
151,Lemon_Herb_Chicken_Couscous_Bowl,646,28,7
152,Garden_Chicken_Burger,567,20,8
153,Minestrone_Soup,349,18,9
154,Vegetable_Garlic_Olive_Oil_Rotini,626,31,10
155,Campus_Fish_Street_Tacos,486,19,11
156,Lentil_Balsamic_Salad,386,17,12
157,Ginger_Soy_Salmon_Quinoa_Plate,489,38,13
158,Harvest_Vegetable_Massaman_Curry,653,28,14
159,House_Shrimp_Vegetable_Stir_Fry,565,31,15
160,Harvest_Mushroom_Ramen,840,26,16
161,Vegetable_Creamy_Pesto_Farfalle,803,29,17
162,Cod_Mashed_Potatoes_Dinner,644,23,18
163,Cucumber_Swiss_Omelet,395,25,1
164,Peach_Peanut_Oatmeal,318,8,2
165,Harvest_Pineapple_Pancakes,418,10,3
166,Chorizo_Style_Tofu_Breakfast_Taco,449,12,4
167,Peach_Granola_Yogurt_Parfait,357,19,5
168,Egg_Croissant_Sandwich,603,27,6
169,Black_Bean_Street_Tacos,331,29,7
170,Baked_Tofu_Cilantro_Lime_Salad,330,33,8
171,Pesto_Tofu_Wrap,417,27,9
172,Teriyaki_Chicken_Brown_Rice_Bowl,517,29,10
173,Sun_Devil_Beef_Burger,544,20,11
174,House_Chicken_Noodle_Soup,328,16,12
175,Beef_Vegetable_Stir_Fry,491,21,13
176,House_Pork_Ramen,784,17,14
177,Tofu_Arrabbiata_Linguine,814,27,15
178,Harvest_Chicken_Mashed_Potatoes_Dinner,704,18,16
179,Black_Bean_Red_Chile_Enchiladas,587,27,17
180,Campus_Chicken_Gyro_Plate,728,39,18
181,Spinach_Parmesan_Omelet,371,18,1
182,Strawberry_Peanut_Oatmeal,409,13,2
183,Raspberry_French_Toast,528,11,3
184,Campus_Chorizo_Style_Tofu_Breakfast_Taco,340,17,4
185,Apple_Chia_Yogurt_Parfait,359,19,5
186,Turkey_Sausage_Bagel_Sandwich,513,22,6
187,Garden_Beef_Sandwich,731,26,7
188,Broccoli_Cheddar_Soup,325,16,8
189,Turkey_Alfredo_Linguine,671,25,9
190,Campus_Chicken_Street_Tacos,386,14,10
191,Harvest_Grilled_Chicken_Caesar_Salad,413,34,11
192,Buffalo_Lentil_Wrap,647,32,12
193,Vegetable_Arrabbiata_Rigatoni,802,33,13
194,Tofu_Rice_Pilaf_Dinner,494,27,14
195,Classic_Beef_Mediterranean_Plate,846,31,15
196,Buffalo_Turkey_Farro_Plate,645,44,16
197,Beef_Green_Curry,709,28,17
198,Garden_Beef_Vegetable_Stir_Fry,459,36,18
199,Banana_Pecan_Oatmeal,280,9,1
200,Raspberry_Pancakes,452,9,2
201,Chorizo_Style_Tofu_Breakfast_Burrito,441,24,3
202,Mango_Granola_Yogurt_Parfait,223,20,4
203,Tofu_Egg_Bagel_Sandwich,364,21,5
204,Onion_Feta_Egg_Bowl,316,26,6
205,Harvest_Buffalo_Salmon_Wrap,516,25,7
206,Chipotle_Beef_Quinoa_Bowl,490,36,8
207,Beef_Melt,578,21,9
208,House_Lentil_Soup,250,17,10
209,Tofu_Garlic_Olive_Oil_Penne,678,22,11
210,Harvest_Fish_Street_Tacos,549,29,12
211,Sun_Devil_Chicken_Shawarma_Bowl,733,24,13
212,Coconut_Curry_Chicken_Brown_Rice_Plate,784,26,14
213,Chicken_Massaman_Curry,689,33,15
214,Campus_Tofu_Vegetable_Stir_Fry,615,20,16
215,Classic_Mushroom_Ramen,778,22,17
216,Tofu_Arrabbiata_Rigatoni,492,25,18
217,House_Banana_Pecan_Oatmeal,325,14,1
218,Strawberry_Waffles,470,8,2
219,Vegetable_Breakfast_Taco,394,24,3
220,Classic_Peach_Granola_Yogurt_Parfait,258,17,4
221,Avocado_Egg_Bagel_Sandwich,389,16,5
222,Mushroom_Parmesan_Scramble,301,25,6
223,Shrimp_Marinara_Macaroni,496,17,7
224,Sun_Devil_Chicken_Street_Tacos,611,16,8
225,Roasted_Turkey_Ranch_Salad,343,26,9
226,Chipotle_Beef_Wrap,405,16,10
227,Ginger_Soy_Salmon_Rice_Bowl,632,37,11
228,Sun_Devil_Chicken_Burger,771,35,12
229,Chicken_Green_Curry,652,24,13
230,Classic_Tofu_Vegetable_Stir_Fry,491,25,14
231,House_Chicken_Ramen,590,34,15
232,Tofu_Roasted_Garlic_Farfalle,792,26,16
233,Sun_Devil_Tofu_Mashed_Potatoes_Dinner,443,26,17
234,Lentil_Tomatillo_Enchiladas,810,19,18
235,Pineapple_Cashew_Oatmeal,372,7,1
236,Strawberry_French_Toast,324,9,2
237,Harvest_Chorizo_Style_Tofu_Breakfast_Burrito,538,20,3
238,Sun_Devil_Raspberry_Almond_Yogurt_Parfait,358,13,4
239,Campus_Turkey_Sausage_Bagel_Sandwich,381,27,5
240,Cucumber_Mozzarella_Omelet,379,20,6
241,Lemon_Herb_Turkey_Brown_Rice_Bowl,668,21,7
242,House_Beef_Sandwich,661,27,8
243,Harvest_Broccoli_Cheddar_Soup,309,10,9
244,Chicken_Marinara_Macaroni,536,28,10
245,Tofu_Street_Tacos,576,27,11
246,Baked_Tofu_Caesar_Salad,528,29,12
247,Sun_Devil_Pork_Ramen,512,30,13
248,Campus_Tofu_Creamy_Pesto_Linguine,762,15,14
249,Salmon_Roasted_Potatoes_Dinner,475,37,15
250,Classic_Black_Bean_Salsa_Verde_Enchiladas,748,15,16
251,Tofu_Shawarma_Bowl,847,28,17
252,Ginger_Soy_Chicken_Rice_Plate,715,35,18
253,Raspberry_Pecan_Oatmeal,318,11,1
254,House_Peach_Pancakes,458,7,2
255,Raspberry_Honey_Yogurt_Parfait,352,14,3
256,Ham_Egg_Bagel_Sandwich,345,18,4
257,Spinach_Feta_Scramble,407,26,5
258,Raspberry_Cashew_Oatmeal,408,11,6
259,Baked_Tofu_Ranch_Salad,367,26,7
260,Mediterranean_Chickpea_Wrap,624,32,8
261,Ginger_Soy_Pork_Brown_Rice_Bowl,629,25,9
262,Harvest_Beef_Melt,717,20,10
263,Sun_Devil_Chicken_Noodle_Soup,188,18,11
264,Turkey_Alfredo_Macaroni,681,18,12
265,Pinto_Bean_Tomatillo_Enchiladas,597,21,13
266,Beef_Shawarma_Bowl,600,23,14
267,Coconut_Curry_Pork_Quinoa_Plate,710,27,15
268,Harvest_Tofu_Vegetable_Stir_Fry,518,38,16
269,Tofu_Ramen,722,33,17
270,Tofu_Tomato_Basil_Farfalle,500,29,18
271,Vegetable_Breakfast_Burrito,501,13,1
272,Raspberry_Granola_Yogurt_Parfait,205,14,2
273,Ham_Egg_English_Muffin_Sandwich,474,13,3
274,Tomato_Parmesan_Egg_Bowl,368,23,4
275,Mango_Peanut_Oatmeal,387,8,5
276,Garden_Apple_Pancakes,464,10,6
277,Shrimp_Marinara_Rotini,699,23,7
278,Garden_Tofu_Street_Tacos,505,31,8
279,Grilled_Chicken_Balsamic_Salad,307,34,9
280,Garden_Chipotle_Beef_Wrap,559,23,10
281,Cilantro_Lime_Chicken_Rice_Bowl,521,22,11
282,Chicken_Sandwich,615,21,12
283,Vegetable_Red_Curry,711,18,13
284,Harvest_Chicken_Vegetable_Stir_Fry,542,28,14
285,Garden_Pork_Ramen,701,27,15
286,Chicken_Arrabbiata_Rigatoni,581,27,16
287,House_Cod_Quinoa_Dinner,547,22,17
288,Harvest_Black_Bean_Tomatillo_Enchiladas,534,15,18
289,Harvest_Vegetable_Breakfast_Burrito,438,16,1
290,Apple_Granola_Yogurt_Parfait,278,12,2
291,Tofu_Egg_English_Muffin_Sandwich,485,21,3
292,Zucchini_Cheddar_Egg_Bowl,397,21,4
293,Strawberry_Almond_Oatmeal,339,8,5
294,Campus_Turkey_Sausage_Breakfast_Taco,423,15,6
295,Portobello_Burger,780,35,7
296,House_Minestrone_Soup,253,15,8
297,Chicken_Pesto_Macaroni,726,28,9
298,Sun_Devil_Baked_Tofu_Ranch_Salad,399,30,10
299,Sun_Devil_Chipotle_Shrimp_Wrap,545,17,11
300,Cilantro_Lime_Shrimp_Quinoa_Bowl,436,23,12
301,Garden_Salmon_Roasted_Potatoes_Dinner,454,35,13
302,Vegetable_Shawarma_Bowl,695,15,14
303,Ginger_Soy_Salmon_Brown_Rice_Plate,643,33,15
304,Tofu_Green_Curry,805,33,16
305,Garden_Shrimp_Vegetable_Stir_Fry,569,33,17
306,Harvest_Pork_Ramen,552,33,18
307,Kale_Feta_Omelet,370,16,1
308,Pineapple_Peanut_Oatmeal,257,12,2
309,Pineapple_Waffles,341,13,3
310,Garden_Turkey_Sausage_Breakfast_Taco,559,15,4
311,Campus_Apple_Chia_Yogurt_Parfait,297,20,5
312,Garden_Egg_Croissant_Sandwich,510,13,6
313,Cilantro_Lime_Tofu_Farro_Bowl,661,17,7
314,Portobello_Melt,439,18,8
315,Classic_Minestrone_Soup,266,14,9
316,Turkey_Pesto_Penne,719,14,10
317,Classic_Carnitas_Street_Tacos,510,23,11
318,Grilled_Chicken_Ranch_Salad,525,33,12
319,Honey_Mustard_Turkey_Quinoa_Plate,699,41,13
320,Tofu_Massaman_Curry,550,21,14
321,Garden_Tofu_Vegetable_Stir_Fry,479,24,15
322,Classic_Chicken_Ramen,650,18,16
323,Vegetable_Creamy_Pesto_Linguine,602,16,17
324,Campus_Black_Bean_Tomatillo_Enchiladas,535,24,18
325,Apple_Pecan_Oatmeal,377,9,1
326,Campus_Apple_Pancakes,336,9,2
327,Classic_Chorizo_Style_Tofu_Breakfast_Burrito,532,15,3
328,Campus_Apple_Granola_Yogurt_Parfait,342,21,4
329,Harvest_Tofu_Egg_English_Muffin_Sandwich,604,24,5
330,Carrot_Mozzarella_Egg_Bowl,335,26,6
331,House_Black_Bean_Ranch_Salad,295,22,7
332,Mediterranean_Salmon_Wrap,551,17,8
333,Cilantro_Lime_Tofu_Brown_Rice_Bowl,615,27,9
334,Harvest_Black_Bean_Soup,194,16,10
335,Tofu_Garlic_Olive_Oil_Linguine,542,32,11
336,House_Tofu_Street_Tacos,432,29,12
337,Meatball_Roasted_Garlic_Rigatoni,598,28,13
338,Harvest_Tofu_Mashed_Potatoes_Dinner,656,35,14
339,Classic_Lentil_Tomatillo_Enchiladas,546,22,15
340,Campus_Tofu_Shawarma_Bowl,662,18,16
341,Buffalo_Chicken_Brown_Rice_Plate,582,40,17
342,Tofu_Red_Curry,541,14,18
343,Mango_Waffles,437,9,1
344,Garden_Black_Bean_Breakfast_Burrito,533,15,2
345,Raspberry_Chia_Yogurt_Parfait,296,13,3
346,Harvest_Tofu_Egg_Biscuit_Sandwich,313,22,4
347,Zucchini_Cheddar_Scramble,282,26,5
348,Garden_Pineapple_Cashew_Oatmeal,358,12,6
349,House_Shrimp_Marinara_Rotini,497,32,7
350,Garden_Carnitas_Street_Tacos,457,31,8
351,Sun_Devil_Grilled_Chicken_Ranch_Salad,384,27,9
352,Pesto_Chickpea_Wrap,388,24,10
353,Ginger_Soy_Shrimp_Rice_Bowl,681,37,11
354,Black_Bean_Burger,538,22,12
355,Chickpea_Red_Chile_Enchiladas,752,14,13
356,Garden_Beef_Shawarma_Bowl,748,19,14
357,Pesto_Turkey_Farro_Plate,705,42,15
358,Campus_Chicken_Red_Curry,777,19,16
359,Vegetable_Tomato_Basil_Rigatoni,488,32,17
360,Classic_Chicken_Mashed_Potatoes_Dinner,746,41,18
361,Peach_Honey_Yogurt_Parfait,272,15,1
362,Classic_Tofu_Egg_Bagel_Sandwich,340,18,2
363,Zucchini_Mozzarella_Scramble,306,28,3
364,House_Apple_Pistachio_Oatmeal,320,8,4
365,Harvest_Apple_Pancakes,536,8,5
366,Classic_Strawberry_Almond_Yogurt_Parfait,339,17,6
367,Sun_Devil_Chicken_Marinara_Macaroni,702,28,7
368,Garden_Grilled_Chicken_Ranch_Salad,383,28,8
369,Mediterranean_Pork_Wrap,489,27,9
370,Lemon_Herb_Chicken_Farro_Bowl,462,17,10
371,Classic_Beef_Sandwich,657,34,11
372,Shrimp_Alfredo_Linguine,472,21,12
373,Pinto_Bean_Red_Chile_Enchiladas,635,25,13
374,Lamb_Gyro_Plate,736,36,14
375,Pesto_Chicken_Couscous_Plate,507,28,15
376,Sun_Devil_Shrimp_Massaman_Curry,573,21,16
377,Campus_Shrimp_Vegetable_Stir_Fry,461,19,17
378,Harvest_Tofu_Ramen,508,25,18
379,Harvest_Strawberry_French_Toast,415,7,1
380,Turkey_Sausage_Breakfast_Burrito,588,15,2
381,Banana_Chia_Yogurt_Parfait,281,22,3
382,Sun_Devil_Ham_Egg_Biscuit_Sandwich,549,17,4
383,Bell_Pepper_Feta_Egg_Bowl,375,27,5
384,Banana_Walnut_Oatmeal,400,13,6
385,Shrimp_Marinara_Penne,707,12,7
386,Black_Bean_Lemon_Tahini_Salad,344,17,8
387,Mediterranean_Turkey_Wrap,626,24,9
388,Ginger_Soy_Lentil_Rice_Bowl,731,19,10
389,Turkey_Sandwich,649,35,11
390,Garden_Black_Bean_Soup,325,8,12
391,House_Vegetable_Massaman_Curry,629,29,13
392,Sun_Devil_Tofu_Vegetable_Stir_Fry,433,39,14
393,Chicken_Creamy_Pesto_Penne,528,19,15
394,Chicken_Rice_Pilaf_Dinner,484,20,16
395,Garden_Black_Bean_Tomatillo_Enchiladas,628,24,17
396,Sun_Devil_Chicken_Gyro_Plate,766,20,18
397,Pineapple_Chia_Yogurt_Parfait,181,20,1
398,Sun_Devil_Avocado_Egg_Croissant_Sandwich,322,21,2
399,Zucchini_Swiss_Omelet,414,21,3
400,House_Pineapple_Cashew_Oatmeal,319,9,4
401,House_Mango_Waffles,340,9,5
402,Classic_Black_Bean_Breakfast_Burrito,456,20,6
403,Sun_Devil_Broccoli_Cheddar_Soup,187,10,7
404,Shrimp_Garlic_Olive_Oil_Macaroni,698,14,8
405,Chickpea_Cilantro_Lime_Salad,491,24,9
406,Chipotle_Turkey_Wrap,489,17,10
407,Lemon_Herb_Chickpea_Couscous_Bowl,458,27,11
408,Chicken_Melt,691,25,12
409,Harvest_Cod_Mashed_Potatoes_Dinner,670,37,13
410,Chickpea_Chipotle_Enchiladas,672,27,14
411,Beef_Gyro_Plate,567,26,15
412,Coconut_Curry_Pork_Rice_Plate,779,23,16
413,Campus_Chicken_Green_Curry,656,23,17
414,Chicken_Tomato_Basil_Linguine,711,18,18
415,Classic_Strawberry_Peanut_Oatmeal,252,12,1
416,Garden_Mango_Waffles,399,7,2
417,Garden_Turkey_Sausage_Breakfast_Burrito,507,23,3
418,Classic_Raspberry_Honey_Yogurt_Parfait,332,17,4
419,Harvest_Egg_Croissant_Sandwich,354,21,5
420,Carrot_Parmesan_Egg_Bowl,388,18,6
421,Sun_Devil_Lentil_Soup,170,6,7
422,Chicken_Garlic_Olive_Oil_Macaroni,526,29,8
423,Harvest_Lentil_Balsamic_Salad,504,19,9
424,Mediterranean_Shrimp_Wrap,495,29,10
425,Lemon_Herb_Pork_Farro_Bowl,553,29,11
426,Campus_Portobello_Melt,504,17,12
427,Garden_Chicken_Vegetable_Stir_Fry,450,21,13
428,Tofu_Roasted_Garlic_Rigatoni,705,33,14
429,Chicken_Quinoa_Dinner,472,31,15
430,Pinto_Bean_Salsa_Verde_Enchiladas,691,23,16
431,House_Lamb_Mediterranean_Plate,613,37,17
432,Lemon_Herb_Pork_Quinoa_Plate,504,35,18
433,House_Vegetable_Breakfast_Taco,429,21,1
434,Strawberry_Granola_Yogurt_Parfait,227,15,2
435,Turkey_Sausage_English_Muffin_Sandwich,587,19,3
436,Zucchini_Pepper_Jack_Omelet,360,23,4
437,Campus_Peach_Peanut_Oatmeal,318,12,5
438,Campus_Mango_Pancakes,407,7,6
439,House_Turkey_Sandwich,682,25,7
440,Sun_Devil_Minestrone_Soup,298,16,8
441,Classic_Chicken_Marinara_Macaroni,426,24,9
442,Garden_Chicken_Street_Tacos,582,21,10
443,Campus_Grilled_Chicken_Ranch_Salad,333,25,11
444,Caesar_Beef_Wrap,477,26,12
445,Tofu_Quinoa_Dinner,710,41,13
446,Lentil_Salsa_Verde_Enchiladas,523,16,14
447,House_Chicken_Gyro_Plate,877,22,15
448,Classic_Garlic_Parmesan_Chicken_Quinoa_Plate,820,25,16
449,Beef_Massaman_Curry,776,16,17
450,Sun_Devil_Shrimp_Vegetable_Stir_Fry,547,25,18
451,Campus_Vegetable_Breakfast_Burrito,340,22,1
452,Banana_Almond_Yogurt_Parfait,211,16,2
453,Classic_Ham_Egg_Biscuit_Sandwich,574,22,3
454,Zucchini_Parmesan_Scramble,393,24,4
455,Classic_Apple_Pecan_Oatmeal,270,13,5
456,Campus_Peach_Waffles,489,13,6
457,House_Grilled_Chicken_Cilantro_Lime_Salad,334,24,7
458,Campus_Mediterranean_Salmon_Wrap,563,22,8
459,Chipotle_Turkey_Rice_Bowl,518,20,9
460,Garden_Portobello_Melt,725,33,10
461,Garden_Lentil_Soup,240,10,11
462,Chicken_Pesto_Rotini,578,14,12
463,Chicken_Mediterranean_Plate,713,25,13
464,Ginger_Soy_Chicken_Couscous_Plate,595,36,14
465,Garden_Tofu_Ramen,525,17,15
466,Chicken_Tomato_Basil_Rigatoni,641,22,16
467,Classic_Salmon_Mashed_Potatoes_Dinner,746,23,17
468,Garden_Lentil_Red_Chile_Enchiladas,689,23,18
469,Classic_Turkey_Sausage_English_Muffin_Sandwich,527,19,1
470,Corn_Mozzarella_Egg_Bowl,414,16,2
471,Classic_Banana_Walnut_Oatmeal,366,7,3
472,Classic_Mango_Waffles,339,13,4
473,House_Chorizo_Style_Tofu_Breakfast_Taco,448,16,5
474,Harvest_Turkey_Sausage_Bagel_Sandwich,596,22,6
475,Chickpea_Lemon_Tahini_Salad,465,15,7
476,Garden_Caesar_Beef_Wrap,484,21,8
477,Teriyaki_Lentil_Farro_Bowl,689,25,9
478,Black_Bean_Melt,678,24,10
479,Campus_Broccoli_Cheddar_Soup,194,17,11
480,Sun_Devil_Chicken_Garlic_Olive_Oil_Macaroni,453,23,12
481,Meatball_Creamy_Pesto_Rigatoni,667,22,13
482,Garden_Tofu_Rice_Pilaf_Dinner,644,21,14
483,Sun_Devil_Lentil_Salsa_Verde_Enchiladas,637,19,15
484,Sun_Devil_Beef_Gyro_Plate,521,16,16
485,Ginger_Soy_Chicken_Brown_Rice_Plate,563,25,17
486,Vegetable_Coconut_Curry,764,14,18
487,Kale_Parmesan_Omelet,396,18,1
488,Mango_Walnut_Oatmeal,294,9,2
489,Banana_Waffles,530,13,3
490,Blueberry_Honey_Yogurt_Parfait,229,13,4
491,Egg_English_Muffin_Sandwich,357,19,5
492,Corn_Cheddar_Egg_Bowl,287,16,6
493,Harvest_Turkey_Alfredo_Macaroni,603,24,7
494,Sun_Devil_Lentil_Balsamic_Salad,439,16,8
495,Garden_Pesto_Salmon_Wrap,538,31,9
496,Chipotle_Chicken_Couscous_Bowl,680,27,10
497,Sun_Devil_Black_Bean_Melt,737,36,11
498,Chicken_Alfredo_Rotini,745,15,12
499,Garden_Vegetable_Massaman_Curry,754,31,13
500,Classic_Shrimp_Vegetable_Stir_Fry,712,19,14
501,Campus_Tofu_Ramen,601,20,15
502,Vegetable_Creamy_Pesto_Penne,686,25,16
503,Cod_Roasted_Potatoes_Dinner,559,19,17
504,Black_Bean_Chipotle_Enchiladas,489,22,18
505,Campus_Potato_Breakfast_Taco,375,20,1
506,Banana_Granola_Yogurt_Parfait,306,20,2
507,Harvest_Egg_English_Muffin_Sandwich,434,25,3
508,Carrot_Pepper_Jack_Egg_Bowl,326,18,4
509,Mango_Pistachio_Oatmeal,299,9,5
510,Banana_Pancakes,364,13,6
511,Vegetable_Pesto_Macaroni,664,26,7
512,Lentil_Ranch_Salad,501,13,8
513,Mediterranean_Beef_Wrap,396,18,9
514,Teriyaki_Chickpea_Quinoa_Bowl,490,29,10
515,Turkey_Burger,554,33,11
516,Chicken_Marinara_Rotini,709,21,12
517,House_Chickpea_Salsa_Verde_Enchiladas,542,24,13
518,Harvest_Chicken_Shawarma_Bowl,742,21,14
519,Chipotle_Salmon_Rice_Plate,495,28,15
520,Vegetable_Green_Curry,781,15,16
521,Campus_Beef_Vegetable_Stir_Fry,523,39,17
522,Classic_Meatball_Creamy_Pesto_Rigatoni,539,33,18
523,Blueberry_Walnut_Oatmeal,327,7,1
524,Harvest_Banana_Pancakes,553,10,2
525,Pineapple_Almond_Yogurt_Parfait,204,15,3
526,Classic_Ham_Egg_Bagel_Sandwich,387,21,4
527,Onion_Parmesan_Omelet,271,24,5
528,Pineapple_Pistachio_Oatmeal,384,13,6
